date,value,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-14,1147,MS,6.0,84.0,,,,,,,,,2020-03-14T20:00:00Z,,,90.0,90.0,90.0,28,0.0,0.0,43.0,2.0,45.0,,,,,,,,
2020-03-21,5519,MS,140.0,695.0,,,,,,,,,2020-03-21T20:00:00Z,1.0,,835.0,835.0,835.0,28,0.0,0.0,0.0,60.0,60.0,,,,,,,,
2020-03-07,2994,MO,0.0,,,,,,,,,,2020-03-07T21:00:00Z,,,0.0,0.0,0.0,29,,,,,,,,,,,,,
2020-03-14,4016,MO,4.0,90.0,,,,,,,,,2020-03-14T20:00:00Z,0.0,,94.0,94.0,94.0,29,0.0,0.0,19.0,2.0,21.0,,,,,,,,
2020-03-21,42246,MO,73.0,369.0,,,,,,,,,2020-03-21T20:00:00Z,3.0,,442.0,442.0,442.0,29,2.0,0.0,0.0,26.0,26.0,,,,,,,,
2020-03-07,714,MT,0.0,11.0,,,,,,,,,2020-03-07T21:00:00Z,,,11.0,11.0,11.0,30,,,,,,,,,,,,,
2020-03-14,817,MT,5.0,103.0,,,,,,,,,2020-03-14T20:00:00Z,,,108.0,108.0,108.0,30,0.0,0.0,48.0,4.0,52.0,,,,,,,,
2020-03-21,15349,MT,20.0,1146.0,,,,,,,,,2020-03-21T20:00:00Z,,,1166.0,1166.0,1166.0,30,0.0,0.0,215.0,4.0,219.0,,,,,,,,
2020-03-07,501,NE,1.0,17.0,5.0,,,,,,,,2020-03-07T21:00:00Z,,,23.0,18.0,18.0,31,0.0,0.0,0.0,1.0,1.0,,,,,,,,
2020-03-14,795,NE,14.0,80.0,33.0,,,,,,,,2020-03-14T20:00:00Z,,,127.0,94.0,94.0,31,0.0,0.0,0.0,1.0,1.0,,,,,,,,
2020-03-21,15700,NE,38.0,356.0,,,,,,,,,2020-03-21T20:00:00Z,0.0,,394.0,394.0,394.0,31,0.0,0.0,116.0,6.0,122.0,,,,,,,,
2020-03-07,2309,NV,1.0,14.0,,,,,,,,,2020-03-07T21:00:00Z,,,15.0,15.0,15.0,32,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-14,6356,NV,20.0,168.0,,,,,,,,,2020-03-14T20:00:00Z,,,188.0,188.0,188.0,32,0.0,0.0,0.0,9.0,9.0,,,,,,,,
2020-03-21,92298,NV,124.0,2384.0,,,,,,,,,2020-03-21T20:00:00Z,2.0,,2508.0,2508.0,2508.0,32,1.0,0.0,392.0,15.0,407.0,,,,,,,,
2020-03-07,495,NH,2.0,20.0,3.0,,,,,,,,2020-03-07T21:00:00Z,,,25.0,22.0,22.0,33,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-14,642,NH,7.0,212.0,31.0,,,,,,,,2020-03-14T20:00:00Z,,,250.0,219.0,219.0,33,0.0,0.0,118.0,1.0,119.0,,,,,,,,
2020-03-21,29379,NH,55.0,973.0,942.0,,,,,,,,2020-03-21T20:00:00Z,,,1970.0,1028.0,1028.0,33,0.0,0.0,228.0,11.0,239.0,,,,,,,,
2020-03-07,7996,NJ,4.0,,1.0,,,,,,,,2020-03-07T21:00:00Z,,,5.0,4.0,4.0,34,0.0,0.0,0.0,3.0,3.0,,,,,,,,
2020-03-14,9467,NJ,50.0,97.0,80.0,,,,,,,,2020-03-14T20:00:00Z,1.0,,227.0,147.0,147.0,34,0.0,0.0,0.0,0.0,0.0,,,,,,,,
