date,value,state
1990-06-23,8387,VA
1990-06-30,13611,VA
1990-07-07,16462,VA
1990-07-14,7884,VA
1990-07-21,6474,VA
1990-07-28,5854,VA
1990-08-04,5916,VA
1990-08-11,5624,VA
1990-08-18,6781,VA
1990-08-25,5652,VA
1990-09-01,5508,VA
1990-09-08,6174,VA
1990-09-15,5933,VA
1990-09-22,6382,VA
1990-09-29,5981,VA
1990-10-06,6922,VA
1990-10-13,7155,VA
1990-10-20,12051,VA
1990-10-27,14840,VA
1990-11-03,9155,VA
1990-11-10,10555,VA
1990-11-17,10490,VA
1990-11-24,12207,VA
1990-12-01,11787,VA
1990-12-08,13698,VA
1990-12-15,12958,VA
1990-12-22,20953,VA
1990-12-29,22835,VA
1991-01-05,23216,VA
1991-01-12,20741,VA
1991-01-19,15767,VA
1991-01-26,12556,VA
1991-02-02,15836,VA
1991-02-09,10937,VA
1991-02-16,14493,VA
1991-02-23,11788,VA
1991-03-02,10487,VA
1991-03-09,16502,VA
1991-03-16,12740,VA
1991-03-23,11689,VA
1991-03-30,8834,VA
1991-04-06,11455,VA
1991-04-13,14120,VA
1991-04-20,7909,VA
1991-04-27,6985,VA
1991-05-04,6999,VA
1991-05-11,11397,VA
1991-05-18,8016,VA
1991-05-25,6069,VA
1991-06-01,5939,VA
1991-06-08,6533,VA
1991-06-15,7141,VA
1991-06-22,7791,VA
1991-06-29,8186,VA
1991-07-06,8315,VA
1991-07-13,8787,VA
1991-07-20,7002,VA
1991-07-27,5959,VA
1991-08-03,6041,VA
1991-08-10,5986,VA
1991-08-17,5223,VA
1991-08-24,4979,VA
1991-08-31,5165,VA
1991-09-07,5070,VA
1991-09-14,5478,VA
1991-09-21,5213,VA
1991-09-28,5131,VA
1991-10-05,6774,VA
1991-10-12,6370,VA
1991-10-19,5256,VA
1991-10-26,5824,VA
1991-11-02,6201,VA
1991-11-09,7340,VA
1991-11-16,6987,VA
1991-11-23,8733,VA
1991-11-30,8690,VA
1991-12-07,11486,VA
1991-12-14,11923,VA
1991-12-21,22283,VA
1991-12-28,11729,VA
1992-01-04,14294,VA
1992-01-11,16812,VA
1992-01-18,16286,VA
1992-01-25,9693,VA
1992-02-01,9332,VA
1992-02-08,9250,VA
1992-02-15,7785,VA
1992-02-22,7728,VA
1992-02-29,7992,VA
1992-03-07,8703,VA
1992-03-14,6592,VA
1992-03-21,6613,VA
1992-03-28,6936,VA
1992-04-04,6696,VA
1992-04-11,6470,VA
1992-04-18,7695,VA
1992-04-25,5230,VA
1992-05-02,5309,VA
1992-05-09,5552,VA
1992-05-16,6808,VA
1992-05-23,5085,VA
1992-05-30,4660,VA
1992-06-06,6109,VA
1992-06-13,5406,VA
1992-06-20,6736,VA
1992-06-27,8386,VA
1992-07-04,8027,VA
1992-07-11,9312,VA
1992-07-18,6365,VA
1992-07-25,7017,VA
1992-08-01,6224,VA
1992-08-08,5918,VA
1992-08-15,6209,VA
1992-08-22,4916,VA
1992-08-29,4843,VA
1992-09-05,5099,VA
1992-09-12,4605,VA
1992-09-19,4821,VA
1992-09-26,4563,VA
1992-10-03,4544,VA
1992-10-10,6014,VA
1992-10-17,4545,VA
1992-10-24,5332,VA
1992-10-31,5361,VA
1992-11-07,5958,VA
1992-11-14,5211,VA
1992-11-21,6289,VA
1992-11-28,4923,VA
1992-12-05,10966,VA
1992-12-12,7315,VA
1992-12-19,8948,VA
1992-12-26,6774,VA
1993-01-02,8333,VA
1993-01-09,13830,VA
1993-01-16,11137,VA
1993-01-23,7475,VA
1993-01-30,8130,VA
1993-02-06,6122,VA
1993-02-13,6848,VA
1993-02-20,5069,VA
1993-02-27,5028,VA
1993-03-06,6104,VA
1993-03-13,5553,VA
1993-03-20,6805,VA
1993-03-27,6183,VA
1993-04-03,5738,VA
1993-04-10,5806,VA
1993-04-17,6737,VA
1993-04-24,4882,VA
1993-05-01,4889,VA
1993-05-08,4630,VA
